,titulo,fecha,texto
0,"Dólar abrió la jornada a $3.604 este viernes, cayó $15.62 frente a la TRM",2021-04-16,"
A las 8:00 a.m. de este viernes el dólar abrió con un precio promedio de negociación de $3.604,78, que representa un caída de $15,62 frente a la Tasa Representativa del Mercado, TRM, ubicada para la jornada en $3.620,40.El precio mínimo registrado fue de $3.603,00 y el máximo de $3.608,00. Durante los primeros minutos de la jornada se negociaron US$12 millones, a través de 15 transacciones.Los futuros de EE. UU. subieron y las acciones mundiales alcanzaron máximos históricos el viernes, ya que las cifras de crecimiento récord de China agregaron combustible a las apuestas sobre la recuperación económica.
Lea además: Advierten fuerte aumento de la informalidad en Latinoamérica por la pandemia
Bloomberg destaca que ""junto con las ganancias corporativas saludables, las cifras del producto interno bruto del primer trimestre de China están dando un nuevo impulso al comercio de reflación. En EE. UU., Las ventas minoristas del jueves y los datos de solicitudes de desempleo semanales indicaron una recuperación acelerada en la mayor economía del mundo"".""A medida que se acelera la reapertura económica en los próximos meses, creemos que el mercado alcista se mantiene sobre una base sólida"", dijo Mark Haefele, director de inversiones de UBS Global Wealth Management al medio.El crudo West Texas Intermediate subió 0,1% a US$63,51 el barril mientras que el crudo Brent subió 0,2% a US$67,10.
"
1,Impuesto a servicios públicos y más colombianos a declarar renta: presentan la reforma tributaria,2021-04-16,"
La reforma tributaria del Gobierno Nacional será presentada este jueves en el Congreso. Los colombianos empezarán a declarar renta desde $2.4 millones, se crearán nuevos impuestos, entre ellos uno de vehículos, además de normas en materia de IVA, patrimonio y pensiones, entre algunas disposiciones más.Según el texto, a partir de 2023 empezarían a declarar renta quienes ganen desde 1’694.000 mensuales.Con esta reforma tributaria comenzarán a pagar IVA en los servicios públicos los ciudadanos de estratos 4, 5, y 6.La iniciativa plantea que el programa Ingreso Solidario sea una renta básica, a través de un programa de carácter permanente para reducir la pobreza y las brechas de ingreso en el país.
Puede leer: Senado discutirá proyecto de ley que busca disminuir el valor del Soat
El proyecto deja claro que estarán exentos de IVA una serie de productos y servicios: animales vivos, carne fresca o congelada bovina, porcina, ovina; carne de aves, peces congelados; leche, queso, huevos, cebolla, papa, tomates, yuca, frutas, agua, sal, antibióticos, medicamentos, preservativos y lápices; ventas de inmuebles, los servicios médicos, odontológicos, hospitalarios, clínicos y de laboratorio, para la salud humana, con excepción de tratamientos de belleza o cirugías estéticas.De acuerdo con la iniciativa, tampoco estarían gravados con el impuesto los servicios de medicina prepagada y educación.En cuanto al esquema de los tres días sin IVA al año, el Gobierno quiere mantenerlo para que los colombianos tengan facilidades en la compra de vestuario, electrodomésticos, elementos deportivos y juguetes.Con respecto al monto de devolución del IVA, el proyecto fija en $50.000 mensuales este valor, como compensación para los hogares en condición de pobreza. Para determinar los beneficiarios, el Departamento Nacional de Planeación (DNP) podrá tener en cuenta aspectos como la situación de pobreza y considerar el Sisbén o el instrumento que haga sus veces.La reforma tributaria también solicita que se le den facultades extraordinarias y precisas al Presidente de la República, por seis meses, para modificar o establecer retenciones en la fuente sobre los pagos o abonos en cuenta susceptibles de constituir ingreso tributario para las personas jurídicas contribuyentes del impuesto sobre la renta.
Le puede interesar: César Gaviria reitera que liberales no apoyarán reforma tributaria, dice que ""es inconveniente""En relación a las cesantías, la iniciativa propone que los ingresos por concepto de auxilio de cesantías y los intereses sobre cesantías se entenderán realizados en el momento del pago del empleador directo al trabajador o en el momento de consignación al fondo de cesantías, y que ello dará lugar a un reconocimiento patrimonial, cuando haya lugar a ello.Adicionalmente, el proyecto crea el impuesto nacional a vehículos, el cual reemplazaría al impuesto sobre vehículos automotores, del que trata la Ley 488 de 1998, y el impuesto de circulación y tránsito o rodamiento a los vehículos de servicio público. Este nuevo impuesto tendrá un componente relacionado con el valor comercial y otro relacionado con el factor de contaminación.Igualmente el proyecto prevé que las ciudades capitales puedan, con previa autorización del concejo municipal o distrital, instalar peajes dentro de su jurisdicción en las vías que se encuentren a su cargo.
"
2,Dólar inició jornada este miércoles a un precio promedio de $3.662 en Colombia,2021-04-16,"
A las 8:00 a.m. de este miércoles el dólar inició la jornada con un precio promedio de $3.662,45, que representa un crecimiento de $3,81 frente a la Tasa Representativa del Mercado, TRM, que se ubica en $3.666,17.El precio máximo alcanzado hasta el momento es de $3.665,50 y el mínimo fue $3.658,50. En los primeros minutos de la jornada se negociaron US$55,5 millones, a través de 88 transacciones.En el mercado internacional los futuros de EE. UU. subieron, mientras que las acciones europeas y asiáticas avanzaron a medida que inversores sopesan ganancias de las empresas, incluidos algunos de los bancos más grandes del mundo.
Lea además: Deuda externa de Colombia asciende a 156.834 millones de dólares
Bloomberg resalta que ""las expectativas de un fuerte repunte de las ganancias han ayudado a que los mercados se recuperen, poniendo el listón alto a medida que avanzan los informes. En términos más generales, los inversores están monitoreando los desarrollos de vacunas para detectar cualquier amenaza a la recuperación económica, al mismo tiempo que vigilan el aumento de la inflación"".Washington aseguró que la campaña de vacunación en EE. UU. sigue en marcha pese a la pausa del uso del biológico desarrollado por Johnson & Johnson, mientras se descartan efectos negativos en la salud de quienes la reciben. Las acciones de la compañía bajaron en las operaciones previas al mercado de ese país, mientras que su rival Moderna Inc., subió.El crudo West Texas Intermediate ganó 1,6% a US$61,12 el barril mientras que el crudo Brent ganó 1,6% a US$64,71 el barril.
"
3,Advierten fuerte aumento de la informalidad en Latinoamérica por la pandemia,2021-04-16,"
La Organización para la Cooperación y el Desarrollo Económicos (OCDE) ha advertido de que la crisis generada por la pandemia provocará fuertes aumentos de la informalidad laboral, la desigualdad y la pobreza en varios países de América Latina, por lo que los Gobiernos de la región deberán enfocar sus políticas en el desarrollo de sólidos sistemas de seguridad social y políticas para frenar la informalidad.Así lo ha indicado el organismo en su último informe, donde resalta que tras un 2020 ""devastador"" por la crisis sanitaria, las perspectivas futuras están mejorando, señalando que la respuesta de los gobiernos de aquí en adelante debe abordar los obstáculos estructurales para el crecimiento económico.En este escenario, la institución con sede en París ha realizado una serie de recomendaciones ha analizado las situaciones de Argentina, Brasil, Colombia, Costa Rica y México, citando además varias recomendaciones en materia fiscal, educativa, laboral o social.
Puede leer: La propuesta de los empresarios para no afectar el IVA en la reforma tributaria
Argentina, 20 años de poca integración económicaLa OCDE menciona en su informe la poca integración económica de Argentina en la economía mundial si se compara con otras economías emergentes, una situación que se ha agravado con el impacto de la contingencia sanitaria.Así, el organismo considera relevante reducir los controles regulatorios y arancelarios por parte de las autoridades, lo que generaría nuevas oportunidades tanto a los ciudadanos como a las empresas.Según la OCDE, este tipo de medidas fomentaría la exportación de empresas locales, generando puestos de trabajo más cualificados y con mayor posibilidad de ser formales. Además, la reducción de barreras comerciales supondría un aumento en el poder adquisitivo de los consumidores, especialmente para los de bajos ingresos.En el ámbito laboral, el organismo apunta que el país sudamericano debería combatir las altas de informalidad y reforzar los sistemas de protección social de empleo, a través de esquemas de transferencia de dinero efectivo.En el lado tributario, la OCDE cita varias recetas, como la eliminación gradual de los impuestos provinciales y sobre transacciones, así como la ampliación de la base del IVA. Asimismo, recomienda aplicar unas contribuciones más reducidas para los empleados de menos ingresos, con el objetivo de fortalecer el empleo formal.
Brasil debe enfocar las ayudas a los más necesitadosEn el caso de Brasil, la OCDE ha resaltado la necesidad del país de reactivar su actividad económica tras el paso de la pandemia, además de enfocar los programas de protección en los sectores de la población más vulnerables.Las recomendaciones de la Organización pasan por cambiar el enfoque del gasto social para beneficiar a los más necesitados de cara a reducir los niveles de desigualdad y pobreza.Asimismo, el organismo recomienda la construcción de una red de seguridad social más sólida y universal, que aumente los beneficios para los trabajadores y que incluya a los empleados informales que actualmente no están cubiertos por ningún régimen de protección social.Por otra parte, la OCDE recomienda la reducción de barreras comerciales y arancelarias para los bienes y servicios, así como la simplificación de la burocracia para los emprendedores del país a la hora de montar una empresa.En términos de deforestación, la institución con sede en París aconseja aprovechar el éxito de épocas pasadas en la lucha contra esta, así como fortalecer los esfuerzos para combatirla y garantizar la dotación de personal y presupuesto suficiente para la agenda ambiental.De su lado, la OCDE aconseja evitar un debilitamiento de la protección actual de las áreas protegidas. En el caso del Amazonas, el consejo pasa por centrarse en un uso sostenible de su posible explotación económica.
México necesita garantizar la independencia de las autoridadesEn México, la OCDE ha advertido de que el Gobierno deberá garantizar la independencia de las autoridades de competencia y de los órganos especiales, además de otorgarles los recursos adecuados para su correcto funcionamiento.En otro orden de cosas, el organismo recomiendo reducir las adjudicaciones directas en las licitaciones públicas y consolidar el uso de un sistema centralizado para las adquisiciones federales, además de aliviar las restricciones a la inversión extranjera directa en sectores clave como el transporte, la logística y la banca.La OCDE también ha recomendado al país norteamericano reducir la burocracia a nivel local, reducir las altas tasas de informalidad y consolidar un sistema de seguridad social. Para conseguir esta caída de la informalidad, la institución aconseja destinar más recursos a las inspecciones laborales y el establecimiento de un sistema de seguro de desempleo a nivel estatal.
Chile, Colombia y Costa RicaEn Chile, la OCDE ha alertado sobre la exposición de las vulnerabilidades persistentes en el tiempo, como la desigualdad, el gran número de pequeñas y medianas empresas y una productividad débil.Si bien el organismo ha reconocido que la actuación del Gobierno ha amortiguado algunos efectos negativos de la crisis, es necesario una acción de política estructural para evitar que los efectos de la crisis deshagan los avances en la reducción de la pobreza y la desigualdad durante las últimas décadas.En Colombia, la institución ve probable que la pandemia conduzca a una mayor informalidad, desigualdad y pobreza, revirtiendo años de mejora. Por ello, advierte de que será necesario abordar las brechas de conectividad y la alta desigualdad entre las regiones del país, así como impulsar el crecimiento y el empleo a medio plazo.En el caso de Costa Rica, la OCDE considera que para lograr una recuperación sólida e inclusiva, la máxima prioridad política debe ser impulsar la creación de empleo formal, con reformas que van desde la eliminación de obstáculos a la entrada de empresas y la competencia, hasta la mejora de la calidad de educación.
"
5,Dólar en Colombia cerró en $3.666 este martes,2021-04-16,"
A la 1:00 p.m. el dólar cerró con un precio promedio de negociación de $3.666,48, lo que representó un caída de $12,91 frente a la Tasa Representativa del Mercado (TRM) que para la jornada de hoy se ubicó en $3.653,57.El precio mínimo registrado fue $3.656,00 y el máximo fue $3.676,20. Durante la jornada se negociaron US$824,4 millones a través de 1.559 transacciones.En el panorama internacional los futuros de las acciones estadounidenses se estabilizaron junto con los bonos mientras los inversores evaluaban la última lectura de inflación en la economía más grande del mundo.Bloomberg resalta que los precios al consumidor subieron más de lo esperado el mes pasado, pero los inversores especularon que la aceleración no fue lo suficientemente rápida como para justificar ningún cambio en la política de la Reserva Federal. Eso mantuvo los rendimientos de los bonos del Tesoro en gran parte en su lugar.
Lea también: Deuda externa de Colombia asciende a 156.834 millones de dólaresAunque los responsables políticos de la Reserva Federal esperan que un aumento en los precios al consumidor sea de corta duración, muchos operadores no están de acuerdo, y los temores de un IPC más rápido se manifiestan en activos de gran duración, desde bonos hasta acciones tecnológicas.El Tesoro planea subastar bonos a 30 años el martes después de que las ventas de pagarés a tres y diez años atraigan una demanda decente el lunes.El crudo West Texas Intermediate subió 0,56% a US$60,26 el barril.El crudo Brent aumentó 0,49% a US$63,77 el barril.Los precios del petróleo subieron el martes después de los sólidos datos de las importaciones chinas, pero los mercados ignoraron en general las tensiones en Oriente Medio que hasta ahora no han interrumpido el suministro de petróleo.Reuters aseguró que la Opep en su informe mensual del martes elevó su pronóstico para el crecimiento de la demanda de petróleo en 2021 en 70.000 a un crecimiento de 5,95 millones de barriles por día (bpd), o 6,6%.""Se espera que la producción de petróleo de Estados Unidos de siete formaciones importantes de esquisto aumente por tercer mes consecutivo, dijo el lunes la Administración de Información de Energía de Estados Unidos"", agregó.
"
6,Deuda externa de Colombia asciende a 156.834 millones de dólares,2021-04-16,"
El Banco de la República informó que en el primer mes del año la deuda externa en la suma de pública y privada fue de US$156.834 millones, lo que significó que el aumento frente a diciembre de 2020 no fue tan significativo, pues el alza se mantuvo en 1,35%. Así mismo, frente a enero de 2020 el repunte fue de 11,6%, cuando estaba en US$140.474 millones.En concreto, la cifra se obtuvo de la suma de la deuda externa tanto pública como privada que el país tiene, en la cual, la de corto plazo fue de US$21.248 millones y la de largo plazo de US$135.587 millones.En cuanto al porcentaje del PIB que representó la deuda, el Emisor confirmó que para este mes fue de 51,8%, siendo menor que en diciembre, cuando se reportó un máximo de 56,9%, cifra que no se había visto en el último año.Además, se pudo evidenciar que el resultado fue casi similar a los niveles que se presentaron en los primeros meses de 2020, cuando el porcentaje del PIB de la deuda se mantenía en alrededor de 51%.
Lea también: Lo que dice Mauricio Cabrera sobre más impuestos a personas naturales en reforma tributariaY es que si bien los niveles de deuda como porcentaje del PIB venían en tendencia alcista al pasar de 53,5% en abril a 56,9% en diciembre, los resultados vuelven a mostrar mejoría cayendo hasta 51,8% en enero de 2021. Un sorpresivo cambio en la tendencia.En cuanto a la deuda pública, la cifra con la que se cerró enero fue de US$92.154 millones, es decir, un crecimiento de alrededor de US$3.000 millones, frente a lo reportado en diciembre de 2020. Así mismo, la deuda privada sumó US$64.681 millones, siendo esta menor en casi US$400 millones que a la del mes inmediatamente anterior que reportó US$65.034 millones.Martín Jaramillo, consultor en Upside Radical Consulting dijo que esta es una cifra que no debe pasar desapercibida, pues los niveles de deuda siguen siendo preocupantes, por lo que se debe seguir con el recorte del gasto público y la reforma tributaria.
"
7,Lo que dice Mauricio Cabrera sobre más impuestos a personas naturales en reforma tributaria,2021-04-16,"
El magíster en Economía y columnista de varios medios de comunicación, Mauricio Cabrera, es uno de los muchos  colombianos que cree que es posible que el Gobierno logre aumentar sus ingresos sin tener que crecer las obligaciones tributarias de la clase media del país.Por ejemplo, aseguró en entrevista con El País, que sí se podría aumentar la tributación de las personas naturales, pero no por el lado del salario  sino por las rentas de capital. Asimismo, considera que se debe volver a plantear IVA a las transacciones de finca raíz de altos montos, propuesta que  no ha tenido un buen desarrollo en proyectos pasados.
Le puede interesar: César Gaviria reitera que liberales no apoyarán reforma tributaria, dice que ""es inconveniente""
Se ha insistido en que las personas naturales deben aportar más al fisco,  ¿este es el camino que debe recorrer el país?​Es claro que las personas naturales en Colombia pagan poco. Las personas tienen dos tipos de rentas: laborales –salarios- y las rentas de capital –arrendamientos, dividendos, intereses de depósitos financieros, renta de la tierra, entre otras-. Las laborales están gravadas de una manera suficiente y ponerles más impuestos es una equivocación, las que se deben gravar más son las rentas de capital de las personas naturales.Hay un tema importante de analizar, sobre todo en los estratos más ricos de la población colombiana, las rentas de capital están escondidas en unas estructuras complejas de empresas familiares, de manera que es común, que los ingresos de una persona y sobre todo sus gastos, no estén declarados en cabeza de esa persona sino en cabeza de una  compañía, que es la que paga los viajes, carros, escoltas y hasta el mercado. Mientras no se controle esto, no se afectará de manera importante las rentas de capital.Es decir, las personas naturales sí deben pagar más, pero no  sobre las rentas laborales sino sobre las de capital. Tal vez solo habría una excepción que son las rentas laborales  de ejecutivos de empresas que tienen salarios de $100 millones o más al año.¿Por qué el Gobierno insiste en mirar más al asalariado?​Porque son los más fáciles de controlar, un asalariado que tiene  un contrato, está afiliado a la seguridad social, paga pensión, todos los datos de esta persona están registrados,  los otros son más difíciles de conseguir. Hay una situación curiosa, las empresas pagan impuestos sobre sus utilidades netas, por ejemplo, una organización puede vender $1.000, pero muestra que tiene gastos de $800 y paga sobre $200.  Mientras que una persona natural que tiene ingresos por $1.000, le permiten deducir máximo el 25 %, es decir paga impuestos sobre $750. Una persona que gane $100 millones anuales, son $8 millones al mes, no es rico, tiene una vivienda, un carro y posiblemente una capacidad de ahorro que puede ser el 5 % ó 10 % y a él le permiten deducir el 25 %  y le toca  pagar impuestos sobre $6 millones, que realmente se le fueron en gastos. Esto es lo que no debe pasar, esta persona no es rica, es acomodada:  este grupo  de la población no  puede ser objetivo de más impuestos.

“El país venía haciendo unos avances importan-tes en la reducción de la pobreza, desde el 2010 y eso se perderá de un plumazo”.
Mauricio Cabrera
Economista

¿Hay otras alternativas para tener ingresos fiscales sin necesidad de esta reforma?​Ahora se han inventado una nueva pirinola porque todo el mundo está de acuerdo en que se necesita la reforma tributaria,  pero entonces tiran la pirinola y siempre sale “Ponen Otros”, los comerciantes dicen que no a ellos, la industria y la agricultura dicen lo mismo, nadie quiere pagar.De las propuestas del Gobierno hay unas válidas y otras que no, y sí  creo que el país tiene otras alternativas.  Por ejemplo, ante una ampliación del IVA, un punto que no se menciona es el IVA a las transacciones de finca raíz, que existe en muchos otros países. Aquí la presión de los constructores y de los terratenientes ha llevado a que esto no se haga.Ahí hay una fuente de recursos muy importante y este impuesto existe en muchos países y no afecta a la clase media. Se podría recaudar más de $1 billón al año con una tarifa bajita y con el 19 % podría llegar generar $3 billones. Los constructores dicen que eso acaba el mercado, pero no, una persona que compra una vivienda de $3000 millones, puede pagar el impuesto.Otra fuente de recursos son las regalías, en especial del oro. De manera absurda  el oro paga una regalía del 4 % y la sal paga el 12 %. Si fuera la misma regalía se recaudaría $1 billón adicional. Otra fórmula es la eliminación de  las exenciones que se pusieron en el 2019 valen como $9 billones¿En el tema de IVA se podría decir que es mejor que todo tenga este tributo pero con una tarifa baja?​No alcanzaría a compensar y de nuevo el Gobierno plantea recaudar  unos $15 billones adicionales con IVA y harán un programa para devolver  a las personas más pobres  $2 billones y quedarían $13 billones que quién los va a pagar… la gente de estratos 3 hacia arriba. Aumentar el IVA afectando más a la clase media, creo que no es equitativo.Otro punto importante es la oportunidad, no solo es mirar el cómo sino el cuándo, el Gobierno plantea una reforma, en la que $15 billones del recaudo serían para financiar gasto y el resto para reducir el déficit fiscal, eso en teoría es una medida sana.  Pero lo complicado es hacerlo en medio de una crisis, poner impuestos para pagar deuda ahondará la crisis.¿Todo lo que ha pasado cómo nos puede afectar en términos de pobreza?​Algunos dicen que el covid es racista y  clasista porque afectó más a las clases pobres. Un estudio de la Universidad de los Andes mostró que de cada 100.000 personas en el estrato 1 se enfermaron 93 y 25 fueron hospitalizados, mientras que en estratos más altos de cada 100.000 personas solo enfermaron 8  y 2  tuvieron que ir a la clínica. Es claro esto porque los más pobres viven más hacinados, no pueden quedarse en la casa, tienen que salir al rebusque, tienen peor alimentación. El covid  no prefiere o los pobres o crea desigualdad, lo que hace es aumentarla. Frente al tema económico los mayores afectados han sido los informales, por eso los datos hablan de que  Colombia tendrá entre 4,5 a 5 millones más de pobres en 2020,  habría  un alza como del 10 %.Pero hay apoyos...​El PAEF (Programa de Apoyo al Empleo Formal) es bien intencionado, darle subsidio a las empresas para mantener a los trabajadores es bueno, pero llegó tarde, se implementó cuando se habían perdido 5 millones de puestos y ya a muchas empresas no les servía porque una condición para aplicar era que se mantuviera a  las personas enganchadas.Asimismo, el Ingreso Solidario es un programa también valioso, se ha identificado la gente y está llegando a 3 millones, es un avance grande, sin embargo, el monto que reciben las familias, $190.000 mensuales, no da ni para el mercado. El Gobierno gastó menos del 2 % del PIB en ayudas cuando otros países  tuvieron un gasto entre 7 %, 8 % del PIB. La respuesta estuvo bien orientada y diseñada pero llegó tarde y fue escasa.¿Qué tanto tardaremos en recuperarnos?​En términos de crecimiento del PIB creo que solo en el año 2022 volveremos a estar en nivel del 2019. Este año no vamos a llegar.  Si miramos otros  elementos del desarrollo  como desempleo y pobreza, nos vamos a demorar más en recuperarnos.  Para volver a niveles de un dígito como los del año 2017  pasarán unos tres años, porque no hay programas específicos de creación de empleo.¿Cómo ve al Valle del Cauca?El Valle tiene una ventaja y es que tiene una economía diversificada y muchas de las empresas son de consumo indispensable para la gente, alimentos, farmacéutica, aseo, en eso no hubo problema en la demanda, por supuesto que  sí se afectaron  otros sectores como las confecciones que venían muy golpeadas. El Valle, en promedio, tiene unos resultados menos malos  que el resto del país por esa diversificación, pero también hay grandes perdedores como hotelería, turismo, restaurantes. Hay cosas en las que estamos iguales al resto del país y otras en las que estamos un poco mejor.
"
8,Dólar cerró primera jornada de la semana con un precio promedio de $3.653,2021-04-16,"
Este lunes, al cierre de la jornada, el dólar se cotizó a un precio promedio de negociación de $3.653,67, que representa un crecimiento de $3,44 frente a la Tasa Representativa del Mercado, TRM, que se ubicó en $3.650,23.El precio máximo alcanzado es de $3.666.00 y el mínimo fue $3.638,00. Durante la jornada se negociaron US$717,3 millones a través de 1.130 transacciones.Analistas proyectan que precio del dólar se cotice esta semana a $3.647 en promedio.
Lea además: Precio del dólar abre la semana en $3.642,08, perdió $8,15 frente a la TRM este lunes
En el ámbito internacional los futuros de acciones de EE. UU. cayeron en todos los mercados después de una tercera semana consecutiva de ganancias y nuevos récords para el índice S&P 500.El rendimiento de los bonos del Tesoro a 10 años subió antes de una ronda de subastas que será ampliamente vigilada por su potencial para extender el aumento de las tasas que ha afectado a las acciones a las materias primas en los mercados emergentes este año.Bloomberg asegura que ""si bien la recuperación de EE. UU. Se acelera, partes de Europa y América del Sur se ven afectadas por el aumento de casos de covid-19 y la implementación de vacunas con problemas. La rotación hacia acciones cíclicas y de pequeña capitalización también parece haberse estancado, lo que generó preocupación por la fortaleza de la recuperación económica de EE. UU. Al comienzo de la temporada de ganancias"".
"
9,"César Gaviria reitera que liberales no apoyarán reforma tributaria, dice que ""es inconveniente""",2021-04-16,"
""No crean que a punta de mermelada van a manejar al Partido Liberal. No, eso se los garantizo yo. Es inconveniente esa reforma tributaria"", fue el duro mensaje que envió César Gaviria, jefe de la colectividad, al Gobierno Nacional.Este lunes dijo que se está hablando de una reforma tributaria sin que el Gobierno haya presentado ""una sola letra"", y afirmó que el proyecto se basa en supuestos. Por eso, insistió que las medidas serían catastróficas.Advirtió que el Partido Liberal mantendrá la posición crítica de los últimos años frente a las reformas tributarias y señaló que aunque existan presiones a los congresistas, esta no se acompañará. Gaviria también invitó a ""esos señores (los congresistas), que se van a enterrar para recibir una cosita ahí que les tiran, que no sean bobos. Y la operación mermelada que hay hoy es gigantesca, como no la ha habido nunca. No voy a criticarlos por eso, porque tienen que gobernar"".El también exmandatario recordó que las listas al Congreso las hace el propio partido y aseguró que se equivocan desde la Casa de Nariño o el ministro de Hacienda, Alberto Carrasquilla, al considerar que con presiones va a cambiar la postura de los liberales.""Votamos con disciplina y las listas las vamos a hacer con gente que quiera las cosas como las vamos a hacer"", resaltó.Gaviria, a nombre de la colectividad, ya ha dicho que el Gobierno de Iván Duque se equivoca al intentar reactivar la economía del país presentando una reforma tributaria en este momento de la pandemia. Sostiene que no es cierto que si se amplia el gasto, afectando el déficit fiscal, el país vaya a perder el grado de inversión.Ha calificado como una ""locura"" que Colombia sea la única nación que presentaría una reforma tributaria en medio de la emergencia sanitaria por el coronavirus y ha señalado que incluso el Fondo Monetario Internacional, el Banco Mundial o la Reserva Federal, han cambiado su postura frente al tema, al considerar sus efectos.
Lea además: Los puntos claves de la reforma tributaria que el Gobierno presentará al Congreso
"
10,"Precio del dólar abre la semana en $3.642,08, perdió $8,15 frente a la TRM este lunes",2021-04-16,"
Este lunes, a las 8:00 a.m., el dólar tenía un precio promedio de $3.642,08, que representa una caída de $8,15 frente a la Tasa Representativa del Mercado, TRM, ubicada para esta jornada en $3.650,23.El precio máximo alcanzado fue de $3.645.00 y el mínimo fue $3.645,00. En los primeros minutos del día se negociaron US$12,5 millones a través de 35 transacciones.En el ámbito internacional los futuros de acciones de EE. UU. cayeron en todos los mercados después de una tercera semana consecutiva de ganancias y nuevos récords para el índice S&P 500.El rendimiento de los bonos del Tesoro a 10 años subió antes de una ronda de subastas que será ampliamente vigilada por su potencial para extender el aumento de las tasas que ha afectado a las acciones a las materias primas en los mercados emergentes este año.
Lea además: ¿Cómo son los micronegocios de los hogares caleños?
Bloomberg asegura que ""si bien la recuperación de EE. UU. Se acelera, partes de Europa y América del Sur se ven afectadas por el aumento de casos de covid-19 y la implementación de vacunas con problemas. La rotación hacia acciones cíclicas y de pequeña capitalización también parece haberse estancado, lo que generó preocupación por la fortaleza de la recuperación económica de EE. UU. Al comienzo de la temporada de ganancias"".Durante el fin de semana, el presidente de la Reserva Federal, Jerome Powell, dijo que la economía estaba a punto de comenzar a crecer más rápido, aunque el coronavirus seguía siendo una amenaza.Se espera que los datos publicados esta semana muestren que la inflación en Estados Unidos se disparó en marzo. Para Reuters se prevé que las ventas minoristas aumenten, tal vez incluso con una ganancia de dos dígitos. El Tesoro de los Estados Unidos también está listo para probar la demanda con ofertas de $ 100 mil millones en deuda esta semana.El crudo West Texas Intermediate ganó 1,4% a US$60,14 el barril. El crudo Brent ganó 1,4% a US$63,80 el barril.
"
