,titulo,fecha,texto,seccion
0,"
SALUD

Valle del Cauca tendrá confinamiento total este fin de semana por alza de contagios

","
viernes, 23 de abril de 2021







","
A raíz del aumento de contagios de covid-19 en el Valle del Cauca, que en promedio no han bajado la última semana de más de 1.000 contagios diarios, la gobernación del departamento, en cabeza de Clara Luz Roldán, anunció nuevas medidas de confinamiento este fin de semana.
""Es alarmante la ocupación de camas UCI que tenemos en el Valle del Cauca. Estamos rondando el 100%, lo que limita la capacidad de respuesta en las instituciones de salud. Es imperativo mantener el confinamiento total, desde las 8 p.m. de este viernes hasta las 5 a.m. del lunes"", aseguró la gobernadora.
La restricción anunciada por la mandataria local regirá en 40 municipios del departamento. Sin embargo, en consideración de que cada ciudad tiene condiciones epidemiológicas diferentes, se estableció la posibilidad de que los alcaldes tomen medidas complementaria.
ARTÍCULO RELACIONADOColombia supera los 70.000 muertos por covid-19 tras reportar récord de 430 fallecidosCabe anotar que en el informe de contagios que publicó ayer el Ministerio de Salud, el Valle fue el cuarto departamento con mayor número de contagios (1.119), superado solo por Bogotá, Antioquia y Barranquilla.
",SALUD
1,"
LEGISLACIÓN

El Gobierno Nacional busca acuerdo con líderes políticos para salvar la tributaria

","
viernes, 23 de abril de 2021







","
A pesar de que no ha empezado la discusión en el Congreso, en el Gobierno hay preocupación por la oposición a la reforma tributaria, que ha tenido como dos de sus cabezas más visibles al exvicepresidente Germán Vargas Lleras, de Cambio Radical, y al expresidente César Gaviria, del Partido Liberal.
Ante la situación, el ministro del Interior, Daniel Palacios, ha dicho que buscará un acercamiento con ellos, y con líderes de las otras bancadas, que permitan llegar a acuerdos constructivos que permitan salvar la reforma. 
“Nosotros trabajaremos con todas las bancadas para construir consensos, entendemos las preocupaciones, hemos visto las opiniones y las propuestas y junto al Ministerio de Hacienda estaremos en un diálogo permanente con los presidentes de los diferentes partidos, con el presidente Álvaro Uribe del Centro Democrático, con el presidente César Gaviria del Partido Liberal, con el doctor Germán Vargas Lleras del partido Cambio Radical, con la doctora Dilian Francisca Toro del partido de la U, con el doctor Omar Yepes del Partido Conservador”, dijo.
Sin embargo, no es claro que Gaviria o Vargas Lleras estén interesados en el acercamiento, al que se oponen rotundamente. Incluso, cabe recordar que han propuesto sanciones para los congresistas que no se alineen con las decisiones de la bancada.
",LEGISLACIÓN
2,"
SALUD

Anuncian cronograma de llegada de nuevas dosis de la vacuna contra el covid-19

","
viernes, 23 de abril de 2021







","
El director Departamento Administrativo Presidencia de la Republica, Víctor Muñoz, publicó en su cuenta de Twitter el cronograma con las próximas fechas de llegada para las vacunas contra el covid-19.
ARTÍCULO RELACIONADOLas segundas dosis de Sinovac se empezarían a aplicar desde el próximo 28 de abrilSegún el funcionario, el 25 de abril llegarían 912.000 dosis de AstraZeneca; el 27 de abril un millón más de la farmacéutica china Sinovac; y el 28 de abril llegarían 540.000 dosis de Pfizer.  Así, en esos cuatro días llegarían al país 2,45 millones de dosis de la vacuna.
Cabe recordar que en los últimos días fueron aplazadas muchas de las citas para la segunda dosis de la vacuna de Sinovac debido a la falta de este biológico en el país.
Con este anuncio, entonces, se espera que se reanude la programación de citas, y que se logre avanzar en la meta que se trazó el Ministerio de Salud, de aplicar más de 200.000 vacunas al día.
",SALUD
3,"
HACIENDA

“Queremos que el Congreso nos apruebe girar ese cheque a los más vulnerables”

","
viernes, 23 de abril de 2021







","
ARTÍCULO RELACIONADOEstos son todos los puntos que incluye la tercera reforma tributaria de Iván DuqueDurante el ForoLR “Llegó la hora de la tributaria”, el director de la Dirección de Impuestos y Aduanas Nacionales (Dian), Lisandro Junco, explicó algunos de los temas más controversiales de la reforma tributaria, incluidos la eliminación de la categoría de bienes exentos de IVA, así como la renta de personas naturales. Además, habló sobre los procesos que adelanta la Dian en la lucha contra la evasión.
En primera instancia, ya varios gremios del agro han afirmado que con el cambio de bienes exentos a excluidos se encarecerían productos como el pollo, los huevos o la leche, pues ya no se recibirían las devoluciones por los IVA pagados en las cadenas de producción. Sin embargo, según Junco, es momento de que los productores sean solidarios y que el monto que se devuelve hoy a los productos exentos se pueda entregar a las familias más vulnerables del país.
“Pasa algo muy sencillo y es que nosotros les estamos entregando por devolución de IVA un cheque que vale cerca de $1 billón. Queremos buscar la solidaridad, queremos que el Congreso nos apruebe no girar ese cheque a los productores sino a los más vulnerables”, explicó Junco.
De acuerdo con el director de la Dian, si este dinero se traslada a las familias más vulnerables, las personas tendrán con qué comprar los alimentos básicos, por lo que el consumo de dichos productos no se verá afectado.
“Que la gente que reciba estos apoyos por parte del Gobierno Nacional pueda salir a comprar el pollo, el pescado y la leche. (...) Es el momento de ser solidario por el bien de su mismo negocio, si nosotros logramos ayudar a los menos favorecidos, el consumo no se va a perder”, dijo Junco.
Además, anotó que los productores del sector agro podrían asumir el costo de los IVA que hay dentro de las cadenas de producción.
“Podemos asumir ese costo como un real del negocio. Ya no voy a recibir el cheque de $860.000 millones, por lo tanto, voy a modificar mi canal de costos y todo lo que compre en la cadena productiva que tenga IVA me lo llevo como costo, un costo adquirido. Eso significa saber manejar los estados financieros”, explicó el director de la Dian.
Por otro lado, también explicó cómo está planteado el impuesto de renta en la reforma y señaló que es necesario entender cuál es la renta líquida gravable a la que se le aplicaría el impuesto y que este solo se tendría que pagar a partir del año gravable 2022.
“Una persona que tenga ingresos menores a $2,5 millones mensuales, en 2022 no va a pagar; en 2023 tampoco pagaría, empezaría a pagar en el año gravable 2024, es decir, en agosto de 2025, tendrá que pagar $11.600 mensuales”, mencionó Junco.
Además, reiteró que con la reforma los contribuyentes podrán acceder a descuentos y exenciones de 25% de la base gravable sin tener que presentar soporte y que se está dando una deducción adicional de 10% por el uso de la facturación electrónica.
Según Junco, además de ayudar a los contribuyentes, este beneficio le favorece a la Dian en el frente de la lucha contra la evasión. “La apuesta de nosotros de permitir la renta exenta de 10% por las compras, nos va a servir a nosotros para poder capturar los datos y hacer las declaraciones sugeridas”, dijo.
Por su parte, el director de la Dian también habló sobre los avances que se han hecho en la lucha contra la evasión y elusión de impuestos. En total, a la fecha se ha logrado un recaudo de $40 billones por cuenta de los esfuerzos en esta materia.
""Estamos generando una lucha frontal contra la evasión y la elusión por $40 billones. Tenemos una estrategia planteada que se sustenta en la facturación electrónica. Hay que decir que la Dian lo que busca es que la factura electrónica sea un documento de soporte”, dijo Junco.
LOS CONTRASTESJavier DíazPresidente de Analdex“Hay que seguir avanzando en el tema de facturación electrónica y en toda la parte de la sistematización y de la modernización de la Dian”.
Uno de los elementos que ha usado la institución en este frente es la facturación electrónica, por lo que se busca incentivar su uso y que ya no solo sea un canal de empresas a empresas (B2B), sino que se transforme y también se utilice de empresas a consumidores (B2C) e inclusive de consumidores a consumidores (C2C). Además, la Dian buscaría utilizar la factura electrónica en el impuesto de renta para que este funcione como el impuesto predial.
“La Dian puede convertir el impuesto de renta como es el predial, que le llega a la casa a los ciudadanos, para hacérsela simple. (...) Vamos a empezar a irradiar la factura electrónica para hacer la factura de renta. La ventaja es que no habría sanciones”, explicó Junco.
Otros mecanismos de la Dian para luchar contra la evasión son cambiar el documento equivalente por un sistema de factura electrónica, crear las condiciones para emitir y recibir soportes electrónicos para que todos los colombianos puedan usar el mecanismo y universalizar el RUT.
Frente a este último punto, el director de la Dian resaltó que la entidad ha avanzado en la universalización a través de las declaraciones sugeridas, que aumentaron 297% en 2020, pues pasaron de 781.012 en 2019 a 3,1 millones el año pasado. “La fiscalización que estamos haciendo es de escritorio previa para hacérsela fácil a nuestros ciudadanos”, dijo.
De hecho, de 2017 a 2020 el número de declarantes ha aumentado 41,7%, resaltando que hoy la cifra asciende a 3,8 millones de personas. “La apuesta es con nuestra estrategia de ampliar la base de personas naturales con la universalización de renta, llegar incluso a siete millones de declarantes”, dijo Junco.
En este sentido, la entidad busca que en el futuro no se envíen declaraciones sugeridas, sino que se envíen facturas de renta a los contribuyentes, una medida que ayudaría a la universalización del impuesto de renta.
",HACIENDA
4,"
HACIENDA

La agencia S&P Global Ratings mantuvo la calificación soberana de Colombia en BBB-

","
jueves, 22 de abril de 2021







","
La calificadora de riesgo S&P Global Ratings mantuvo la calificación crediticia soberana de largo plazo en moneda extranjera de Colombia en ‘BBB-’, así como la de largo plazo en moneda local en ‘BBB’.
La calificadora aseguró que la perspectiva económica se debe a un riesgo de erosión más estructural y de largo plazo producto del covid-19. Otros factores como recesión, debilitamiento de ingresos del Gobierno y un mayor gasto ha, según la calificadora, hecho mella en las finanzas del Estado colombiano.
S&P también prevé que la deuda neta del país supere por poco el 60% del PIB para este año y el próximo año, frente a 43% presentado en 2019.
Además, advirtieron que las expectativas del Estado en cuanto a la recuperación económica será solo un efecto positivo de forma parcial, pues las finanzas pública podrían seguirse deteriorando a menos que se implementen reformas fiscales pertinentes.
La entidad aseguró que la calificación negativa podría mantenerse si durante los próximos 12 meses el debilitamiento de las finanzas públicas no sufre un giro para frenar su deterioro. Sin embargo, afirmaron que también puede subir en este mismo lapso si el Gobierno toma medidas adecuadas para estabilizar la economía y mantener unas perspectivas de crecimiento dentro del PIB.
“Esperamos un pragmatismo continuo en las políticas económicas tanto del Congreso como del Gobierno para manejar las consecuencias económicas de la pandemia, incluidas las medidas para mantener las perspectivas de crecimiento económico a largo plazo y abordar el reciente debilitamiento de las finanzas públicas”, aseguró la calificadora.
",HACIENDA
5,"
INFRAESTRUCTURA 

Vicepresidente Martha Lucía Ramírez dio visto bueno para Variante San Francisco-Mocoa

","
jueves, 22 de abril de 2021







","
La vicepresidente Martha Lucía Ramírez dio su aval para el desarrollo del proyecto Variante San Francisco-Mocoa, cuya construcción empezará el próximo mes. El Instituto Nacional de Vías (Invías) acompañará el desarrollo del proyecto el cual generará mayor desarrollo en los departamentos de Putumayo, Nariño y toda la región sur del país.
Este proyecto fue adjudicado el pasado marzo al Consorcio CM Putumayo, cuyo trabajo incluye la pavimentación a cielo abierto de 8,3 kilómetros de vía a cielo abierto, 11 túneles que conforman 2,8 kilómetros y 61 puentes y viaductos de 15,2 kilómetros.
""La variante San Francisco – Mocoa, es la obra de infraestructura vial más esperada por todos los putumayenses. Hoy estamos aquí, de parte del Presidente Iván Duque Márquez, para darle apertura a este ambicioso proyecto. Con esta obra generaremos 3.275 nuevos empleos para los ciudadanos de Putumayo y Nariño, en especial, para la población indígena y las mujeres de la región"", dijo la vicepresidente.
Por otro lado, el director técnico de la entidad, Guillermo Toro Acuña, dijo que se han encargado de desarrollar y estructurar proyectos innovadores para beneficiar a las comunidades aledañas. ""Esta variante sigue esos lineamientos del Gobierno Nacional y es un hecho histórico para la movilidad del sur colombiano"", afirmó.
A su vez, el Consorcio CM Putumayo está conformado por Construcciones El Condor y por la Sociedad Constructora Meco. El proyecto tendrá un valor de $1,2 billones, lo cual es la segunda inversión más grande hecha por Invías en el marco de Compromiso por Colombia.
",INFRAESTRUCTURA 
6,"
SALUD

Colombia supera los 70.000 muertos por covid-19 tras reportar récord de 430 fallecidos

","
jueves, 22 de abril de 2021







","
El Ministerio de Salud informó en su reporte diario que en las últimas 24 horas se registraron 19.306 casos nuevos de covid-19 en el país, por lo que en total van 2.720.619 casos confirmados del virus a lo largo del territorio.

Este resultado se dio tras llevarse a cabo el procesamiento de 82.084 pruebas, de las cuales 54.333 se hicieron por la prueba PCR y 27.751 por la de antígenos.

En este reporte también se conoció que hubo un total de 430 muertes relacionadas con el virus, por lo que, a la fecha van 70.026 fallecidos. Por otra parte, la cartera anunció que el número de recuperados ascendió a 2.538.020 y el número de casos activos llegó a 103.389.

A nivel regional, el Ministerio dio a conocer que Bogotá ocupó el primer lugar con el número de contagios en un día con un total de 6.369 casos, seguido de Antioquia con 3.496, Barranquilla 2.120, Valle 1199, Atlántico 918 y Cundinamarca 581.
En el archivo adjunto podrá encontrar el reporte a detalle de los 430 fallecidos que se reportaron en las últimas 24 horas.
",SALUD
7,"
HACIENDA

Gremios y congresistas coinciden en que la clase media sería la más afectada con la reforma

","
jueves, 22 de abril de 2021







","
A raíz de las declaraciones hechas por el ministro de Hacienda, Alberto Carrasquilla, y el director de la Dian, Lisandro Junco, en el marco del foro LR 'Llegó la hora de la tributaria', actores del sector agropecuario como Jorge Bedoya, presidente de la SAC, Jeffrey Fajardo, presidente de Porkcolombia; analistas como Juan Carlos Valencia, socio de Holland and Knight y la representante a la Cámara por el Partido de la Alianza Verde, Catalina Ortiz, discutieron y debatieron el punto más controversial del articulado ya radicado, el IVA y sus implicaciones.
En este punto, el primero en abrir el debate fue el presidente de la SAC, quien aseguró que la propuesta de eliminar la categoría de exentos es un riesgo, tanto para el sector primario como para los consumidores, por lo que recalcó que ese valor adicional que tendrían que pasar los productores al fisco, saldría de sus bolsillos y del de los consumidores.
Así mismo, recalcó que esos ocho productos que están en la categoría de exentos son de los mas consumidos, por lo que la consecuencia de pagar un precio más alto recaería sobre todo en la clase media del país, puesto que la vulnerable tendría la posibilidad de percibir una devolución del impuesto pagado, mientras que la clase media, la cual aseguró que está compuesta por 6,4 millones de hogares, no vería dinero de regreso, y por lo tanto deberá disponer de mayores recursos para hacer sus compras cotidianas.
""Si el Gobierno pretende todavía eliminar el régimen de exentos, pues tienen que desmentir algo, pues el mismo Gobierno ha dicho que no va a gravar los alimentos de la canasta básica y que tampoco gravaría las cadenas de valor, pero si se lee bien el documento, pasando de exentos a excluidos está gravando las cadenas de valor, y por otro lado está pasando de exclusión a tarifa general a cosas tan importantes como tractores, guadañadores, costales de fique, redes de pescadores, entre otros"", dijo Bedoya.
ARTÍCULO RELACIONADOGremios y congresistas coinciden en que la clase media sería la más afectada con la reformaPor otra parte, el presidente de Porkcolombia, Jeffrey Fajardo, aseguró que hay una desconexión entre la realidad del país y la propuesta del Gobierno, pues advierte que desconocen la realidad del campo colombiano y de la afectación que esto traería en los consumidores.
Además, añadió en relación a las declaraciones del director de la Dian que, ""no salgo de mi asombro de las declaraciones del director de la Dian, demuestra una desconexión. Quiero decirles a todos que efectivamente no ha dicho la verdad suficientemente clara el Gobierno Nacional, porque ha afirmado que no pretende gravar los alimentos, pero se está ocultando una verdad y es el impacto de pasar a excluidos estos productos"", dijo Fajardo.
El debate también lo conformó Juan Carlos Valencia, socio de Holland and Knight, en el que aseguró que esta reforma, como está planteada, no es buena ni mala, por lo que hay aspectos que, a su juicio, se deben mejorar.
ARTÍCULO RELACIONADO""La apuesta es llamarlos a la solidaridad, ese cheque lo vamos a girar a los más vulnerables""En uno de los puntos sobre el IVA a diferentes productos y servicios, explicó que, ""no creo que la vivienda, ni el ahorro, ni la medicina prepagada sean lujos. Son elementos de la clase media. El Gobierno no puede desincentivar la compra de vivienda, un millonario no tiene una hipoteca, la clase media sí"".
Finalmente, Catalina Ortiz, representante a la Cámara por el partido de la Alianza Verde, coincidió con el resto de panelistas y dijo que, en esta reforma los perjudicados son la clase media. Además, aseguró que en una encuesta hecha a ciudadanos, el 83% asegura que no votaría por congresistas que voten sí a la reforma tributaria. Lo cual, según Ortiz, demuestra la inconformidad de los colombianos ante la reforma propuesta por el Gobierno.
",HACIENDA
8,"
HACIENDA

""La apuesta es llamarlos a la solidaridad, ese cheque lo vamos a girar a los más vulnerables""

","
jueves, 22 de abril de 2021







","
Durante el foro LR ""Llegó la hora de la tributaria"", el director de la Dian, Lisandro Junco, explicó que, de acuerdo a lo que se estableció en la Ley de Crecimiento económico, a través de la Comisión de Expertos en Beneficios Tributarios, se debían analizar cuáles son las ineficiencias del sistema tributario Colombiano.
ARTÍCULO RELACIONADOEstos son todos los puntos que incluye la tercera reforma tributaria de Iván Duque""Esto no sale del bolsillo ni sale de la manga del gobierno, este es un mandato que se nos dio en la Ley de Crecimiento Económico"", explicó Junco, quien también afirmó que teniendo este análisis como base se presentó el proyecto de Ley de Solidaridad Sostenible.
Uno de los puntos más controversiales de la reforma es la eliminación de la categoría de bienes exentos de IVA, que pasarían a ser excluidos. Este es el caso de productos como el arroz, el huevo, la leche y la carne de cerdo.
Ante las críticas en este punto de la reforma, el director de la Dian afirmó que es momento de que los productores sean solidarios y que el monto que se devuelve hoy a los productos exentos se pueda entregar a las familias más vulnerables del país.
""Pasa algo muy sencillo y es que nosotros les estamos entregando por devolución de IVA un cheque que vale cerca de $1 billón, queremos buscar la solidaridad, queremos que el Congreso nos apruebe no girar ese cheque a los productores sino a los más vulnerables"", explicó Junco.
Además, dijo que si este beneficio se traslada a los hogares, estos podrían salir a comprar, es decir, sería una medida que promueva el consumo. En ese sentido, pidió a los productores que sean 'solidarios'.
""Que la gente que reciba estos apoyos por parte del Gobierno Nacional puedan salir a comprar el pollo, el pescado y la leche. (...) Los bienes exentos hoy en día tienen una mejor estructura de costos y la apuesta es llamarlos a la solidaridad y entender que ese cheque lo vamos a girar a los que más lo necesitan"", dijo el director de la Dian.
Por otro lado, Junco también mencionó otros puntos que se han criticado de la reforma en cuanto al impuesto de renta, afirmando que es necesario entender cuáles son realmente los cambios en esta materia y cuáles serían los beneficios tributarios a los que podrían acceder los colombianos.
""Una persona que tenga ingresos menores a $2,5 millones mensuales, en el 2022 no va a pagar, en el 2023 tampoco pagaría, empezaría a pagar en el año gravable 2024, es decir, en agosto de 2025, pagaría $11.600 pesos mensuales"", explicó.
Además, recalcó que con la reforma los contribuyentes podrán acceder a un descuento de 10% en el impuesto de renta con el uso de la facturación electrónica.
En cuanto a la lucha contra la evasión, afirmó que a la fecha se han recaudado $40 billones por cuenta de los esfuerzos en esta materia. Además, recordó que la Dian continúa mejorando los procesos de facturación electrónica y, además, se están utilizando los convenios internacionales para encontrar los contribuyentes que han omitido bienes.
""Estamos generando una lucha frontal contra la evasión y la elusión por $40 billones. Tenemos una estrategia plateada que se sustenta en la facturación electrónica. Hay que decir que la Dian lo que busca es que la factura electrónica sea un documento de soporte"" anotó el director de la Dian.
También resalto que la Dian busca que, a través de la facturación electrónica, el impuesto de renta funcione como el impuesto predial, lo que también disminuiría las sanciones a los contribuyentes.
""La Dian puede convertir el impuesto de renta como es el impuesto predial, que le llega en la casa a los ciudadanos para hacérsela simple"", dijo Junco
En cuanto a la factura electrónica, resaltó que la Dian busca que este servicio no solo se utilice de empresas a empresas, sino de empresas a consumidores e, inclusive, de consumidor a consumidor.
""Vamos a incrementar el número de declarantes, vamos a incrementar la información y democratizarla, disminuir la evasión, agilizar los procesos de cobro y disminuir la informalidad"", mencionó.
",HACIENDA
9,"
HACIENDA

""Sin la reforma o sacrificamos programas sociales o nos metemos en un problema fiscal""

","
jueves, 22 de abril de 2021







","
En el marco del Foro LR 'Llegó la hora de la tributaria', el ministro de Hacienda, Alberto Carrasquilla, tocó los puntos más relevantes que conforman el articulado que ya se radicó y espera ser debatido en el Congreso de la República.
En primer lugar, el titular de la cartera aseguró que la necesidad de la reforma radica en dos puntos importantes: que los programas sociales continúen y la desigualdad disminuya; y que hay un problema fiscal que no se puede aplazar, pues al momento, representa un valor de dos puntos del PIB. ""El incremento en la deuda tiene sus explicaciones y necesitamos un ajuste de 2,5 puntos del PIB"", dijo.
Adicionalmente, aseguró que para saldar los otros 1,5 puntos del PIB se tienen que hacer medidas de gasto de largo plazo y medidas tributarias, ""las que hemos propuesto implican la capacidad de financiar los programas sociales que han sido exitosos y han llegado a muchos hogares, más el componente tributario que debe tener el ajuste fiscal, sin esa combinación de dos elementos o sacrificamos los programas sociales o nos metemos en un problema fiscal de mediano plazo que hace mucho sucede en el país"", dijo Carrasquilla.
Por otra parte, el ministro explicó los efectos distributivos de la reforma, y mencionó que la desigualdad, medida como la inequidad en la distribución del ingreso en el país, es muy alta, por lo que el efecto de la reforma lograría que el índice de Gini se reduzca en tres puntos, de aprobarse la reforma tal y como esta. ""Nuestra política publica no ha sido capaz de reducir los niveles de desigualdad, la propuesta multiplica por 7 los efectos anuales observados en la desigualdad"".
ARTÍCULO RELACIONADOGremios y congresistas coinciden en que la clase media sería la más afectada con la reformaEn el caso de la pobreza, el ministro mencionó que la reforma también tendría un efecto positivo, pues con la reforma se lograría reducir seis puntos en el caso de la pobreza extrema y de cuatro puntos en el segmento de la pobreza.
En materia de IVA, uno de los puntos más controversiales del articulado propuesto, el ministro recalcó que, en total, las transacciones sujetas del impuesto en el país son de 39%, mientras que en otros países de América Latina ese porcentaje es de 58%, por lo que, según Carrasquilla, esta reforma solo propone pasar de 39% a 43%, ""un pequeño avance en el sentido de mejores prácticas internacionales"", dijo el ministro.
Además, señaló que, ""es un impuesto indirecto, por lo que es regresivo, las personas de mas altos ingresos pagan menos que las de menor ingreso, es algo que se debe corregir. En la medida que se amplía la canasta gravada devolveremos no a la mitad de la gente en pobreza sino al 40%"", aseguró Carrasquilla.
ARTÍCULO RELACIONADO""La apuesta es llamarlos a la solidaridad, ese cheque lo vamos a girar a los más vulnerables""Otro punto controversial es la eliminación de la categoría de exentos, en esto el ministro expresó que, ha sido calificado como ""un orangután"" y advirtió que en un país serio la discusión se daría en no eliminar, sino de que tasa deberían tener los bienes que hacen parte de esa categoría.
Por el lado del impuesto de renta, el jefe de la cartera económica aseguró que en el país hay varios problemas con este tributo, puesto que, en primer lugar, hay muchas exenciones, por lo que recalcó que en otros países de América Latina el porcentaje de personas naturales que deben pagar renta es ""el doble y hasta el triple de lo que tenemos en Colombia"", dijo el ministro.
",HACIENDA
